LEA_CODE,LEA_NAME,AR,AW,AP,BT,BS,D,K,PA,PS,PF,PW,R,RW,SA,SO,IM,# of acts,ADM,crime_rate,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,LEA_CODE,LEA_Name,d_Total,d_Female,d_Male,d_Asian,d_Black,d_Hispanic,d_American_Indian,d_Two-or-More-Races,d_NHPI,d_White,District_Name,Growth_AIG,All Students,Growth_American Indian,Growth_Asian,Growth_Black,Growth_ED,Growth_ELL,Growth_Hispanic,Growth_SwD,Growth_MultiRacial,Growth_White
500,Jackson County Public Schools,0,0,4,0,0,0,0,0,15,1,3,0,0,0,0,0,23,3584,6.42,,,,,,,510,Johnston County Schools,218.0,73.0,145.0,0.0,52.0,69.0,3.0,15.0,0.0,79.0,Lenoir County Public Schools,-1.4266666666666667,-2.165,,,-2.0325,-2.025,,-0.013333333333333308,-1.7266666666666666,,-1.2066666666666668
510,Johnston County Schools,0,0,12,2,0,0,0,11,68,1,43,0,0,0,0,0,137,36210,3.78,,,,,,,520,Jones County Schools,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Lexington City Schools,-0.4,-0.83,,0.11,-0.13,-0.33,-0.65,-0.24,-1.23,-0.53,-1.1
520,Jones County Schools,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,6,1007,5.96,,,,,,,530,Lee County Schools,65.0,35.0,30.0,0.0,14.0,22.0,0.0,4.0,0.0,25.0,Lincoln County Schools,-2.0975,-4.75,,,-1.52,-3.49,,-0.435,-1.7725,-0.485,-4.6675
530,Lee County Schools,0,0,32,0,0,0,0,11,57,1,26,0,0,4,7,0,138,9790,14.1,,,,,,,540,Lenoir County Public Schools,61.0,24.0,37.0,1.0,28.0,6.0,5.0,4.0,0.0,21.0,Macon County Schools,1.23,-1.245,,,,-1.0933333333333335,-0.27,0.08,-1.64,,-1.2500000000000002
540,Lenoir County Public Schools,0,0,4,0,0,0,0,2,16,0,12,0,0,0,0,0,34,8425,4.04,,,,,,,550,Lincoln County Schools,90.0,35.0,55.0,0.0,1.0,11.0,0.0,4.0,0.0,74.0,Madison County Schools,-0.04999999999999993,-1.81,,,,-1.835,,,-0.36,,-1.86
550,Lincoln County Schools,0,0,7,0,0,0,0,7,42,0,14,0,0,0,0,0,70,11344,6.17,,,,,,,55A,Lincoln Charter School,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Martin County Schools,-1.06,-2.98,,,-2.26,-3.73,,-0.76,-2.56,,-1.37
560,Macon County Schools,0,1,14,0,0,0,0,6,5,0,1,0,0,1,0,0,28,4367,6.41,,,,,,,560,Macon County Schools,10.0,2.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,McDowell County Schools,3.1500000000000004,3.75,,,1.19,1.9766666666666663,0.71,1.53,0.23,,3.353333333333333
570,Madison County Schools,0,0,0,1,0,0,0,3,4,0,1,0,0,0,0,0,9,2234,4.03,,,,,,,570,Madison County Schools,20.0,7.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,Mitchell County Schools,-2.66,-0.95,,,,-0.020000000000000014,,-2.27,-1.34,,-1.015
580,Martin County Schools,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,7,2898,2.42,,,,,,,580,Martin County Schools,40.0,16.0,24.0,0.0,19.0,3.0,0.0,2.0,0.0,16.0,Montgomery County Schools,4.64,4.706666666666667,,,1.086666666666667,2.716666666666667,-2.15,1.7666666666666668,0.18999999999999995,,3.523333333333333
590,McDowell County Schools,0,0,1,0,0,0,0,11,64,0,6,0,0,0,1,0,83,5871,14.14,,,,,,,590,McDowell County Schools,57.0,17.0,40.0,0.0,0.0,4.0,0.0,1.0,0.0,52.0,Moore County Schools,-0.0033333333333333227,-0.8524999999999999,-0.85,,-0.405,-1.4875,0.92,0.20666666666666664,-2.3233333333333333,0.095,0.0
